Player,Games Played,Games Started,Total Minutes Played,Average Minutes Per Game,Field Goals Made,Field Goals Attempted,Field Goals Percentage,3pts Made,3pts Attempted,3pts Percentage,Free Throws Made,Free Throws Attempted,Free Throws Percentage,Total Points,Average Points Per Game,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Average Rebounds Per Game,Personal Fouls,Assists,Turnovers,Steals,Blocks,Team,Tournament Wins
"JeanLouis, Berrick",32,30,914,28.6,106,220,0.482,17,65,0.262,25,37,0.676,254,7.9,39,95,134,4.2,79,62,29,31,33,Iona,0
"Shema, Osborn",34,29,900,26.5,93,188,0.495,23,64,0.359,29,43,0.674,238,7,55,106,161,4.7,68,53,33,24,43,Iona,0
"Davis, Cruz",24,7,452,18.8,57,136,0.419,13,41,0.317,29,38,0.763,156,6.5,8,25,33,1.4,33,23,26,16,8,Iona,0
"Brookshire, Anton",32,0,300,9.4,47,109,0.431,31,80,0.388,8,9,0.889,133,4.2,6,29,35,1.1,19,13,10,6,2,Iona,0
"Ibine Ayo, Sadiku",25,4,257,10.3,25,65,0.385,7,21,0.333,7,10,0.7,64,2.6,13,25,38,1.5,18,5,10,9,6,Iona,0
"Boateng, Stephen",1,0,1,1,0,1,0,0,0,0,2,2,1,2,2,0,2,2,2,0,0,0,0,0,Iona,0
"Jefferson, Michael",21,0,278,13.2,15,47,0.319,8,25,0.32,4,7,0.571,42,2,13,24,37,1.8,37,20,15,10,1,Iona,0
"Sunday, Silas",27,1,132,4.9,19,34,0.559,0,0,0,3,6,0.5,41,1.5,22,20,42,1.6,20,4,7,2,4,Iona,0
"Weiss, Parker",29,1,280,9.7,11,32,0.344,9,25,0.36,0,2,0,31,1.1,5,8,13,0.4,21,6,5,9,1,Iona,0
"Carey, James",10,0,20,2,1,4,0.25,1,2,0.5,4,4,1,7,0.7,0,4,4,0.4,1,2,4,0,0,Iona,0
"Florence, Keither",11,0,45,4.1,3,6,0.5,1,2,0.5,0,3,0,7,0.6,3,5,8,0.7,12,4,4,1,1,Iona,0
"Miles Jr., Mike",27,26,863,32,158,318,0.497,38,105,0.362,128,171,0.749,482,17.9,6,68,74,2.7,56,72,70,32,8,TCU,1
"Miller, Emanuel",32,31,949,29.7,165,327,0.505,20,51,0.392,45,69,0.652,395,12.3,61,148,209,6.5,67,55,57,30,28,TCU,1
"Baugh, Damion",29,29,1015,35,127,294,0.432,29,88,0.33,82,116,0.707,365,12.6,18,118,136,4.7,46,169,82,51,8,TCU,1
"Coles, JaKobe",35,1,588,16.8,110,231,0.476,22,68,0.324,58,73,0.795,300,8.6,50,90,140,4,65,43,24,21,21,TCU,1
"O'Bannon Jr., Chuck",35,31,763,21.8,88,231,0.381,41,132,0.311,54,72,0.75,271,7.7,51,67,118,3.4,72,35,22,29,34,TCU,1
"Peavy, Micah",30,8,633,21.1,78,207,0.377,16,60,0.267,38,59,0.644,210,7,40,54,94,3.1,71,37,32,30,22,TCU,1
"Lampkin Jr., Eddie",24,19,523,21.8,64,116,0.552,0,0,0,24,43,0.558,152,6.3,66,75,141,5.9,41,29,37,15,12,TCU,1
"Wells, Shahada",35,9,605,17.3,81,183,0.443,19,78,0.244,25,35,0.714,206,5.9,8,68,76,2.2,26,82,38,40,6,TCU,1
"Cork, Xavier",35,16,525,15,60,104,0.577,0,0,0,34,59,0.576,154,4.4,40,52,92,2.6,82,15,19,16,16,TCU,1
"Haggerty, PJ",6,0,53,8.8,5,9,0.556,0,1,0,7,9,0.778,17,2.8,1,8,9,1.5,3,5,4,2,0,TCU,1
"Walker, Rondel",30,5,373,12.4,20,73,0.274,11,46,0.239,5,9,0.556,56,1.9,7,40,47,1.6,27,20,12,11,10,TCU,1
"Despie, Cole",5,0,5,1,1,4,0.25,1,2,0.5,0,0,0,3,0.6,0,0,0,0,1,0,0,0,0,TCU,1
"Doumbia, Souleymane",21,0,86,4.1,7,18,0.389,0,0,0,4,6,0.667,18,0.9,10,10,20,1,16,1,3,4,1,TCU,1
"Ford, Darius",6,0,10,1.7,0,3,0,0,2,0,2,2,1,2,0.3,0,2,2,0.3,1,0,0,0,0,TCU,1
"Gonsoulin, Zach",6,0,5,0.8,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.2,0,0,1,0,0,TCU,1
"Lundblade, Tyler",9,0,24,2.7,1,5,0.2,0,2,0,1,2,0.5,3,0.3,0,3,3,0.3,4,2,0,0,0,TCU,1
"Stuart, Trey",6,0,5,0.8,0,2,0,0,1,0,0,0,0,0,0,1,1,2,0.3,0,0,0,0,0,TCU,1
"Cambridge jr., Desmon",33,32,952,28.8,163,412,0.396,82,250,0.328,54,65,0.831,462,14,29,89,118,3.6,71,76,49,56,18,Arizona St,0
"Horne, DJ",35,34,1036,29.6,147,398,0.369,72,203,0.355,71,87,0.816,437,12.5,15,105,120,3.4,67,83,48,38,4,Arizona St,0
"Bagley, Marcus",2,2,57,28.5,7,22,0.318,3,9,0.333,8,13,0.615,25,12.5,2,6,8,4,0,3,5,0,1,Arizona St,0
"Cambridge, Devan",36,35,962,26.7,130,258,0.504,28,84,0.333,65,100,0.65,353,9.8,79,114,193,5.4,97,30,50,22,28,Arizona St,0
"Collins, Frankie",35,34,978,27.9,117,292,0.401,25,74,0.338,79,127,0.622,338,9.7,24,121,145,4.1,79,151,74,46,8,Arizona St,0
"Washington, Warren",34,34,913,26.9,121,215,0.563,0,0,0,72,108,0.667,314,9.2,69,164,233,6.9,84,53,50,17,60,Arizona St,0
"Nunez, Austin",28,2,456,16.3,44,106,0.415,20,53,0.377,18,22,0.818,126,4.5,8,24,32,1.1,51,24,33,19,1,Arizona St,0
"Neal, Jamiya",31,1,504,16.3,55,132,0.417,19,65,0.292,22,35,0.629,151,4.9,11,75,86,2.8,39,46,32,21,5,Arizona St,0
"Gaffney, Alonzo",36,3,607,16.9,42,119,0.353,14,60,0.233,17,28,0.607,115,3.2,28,78,106,2.9,77,23,29,16,22,Arizona St,0
"Muhammad, Luther",36,1,354,9.8,49,132,0.371,10,47,0.213,24,28,0.857,132,3.7,7,29,36,1,24,14,14,11,0,Arizona St,0
"Jr, Desmond cambridge",1,1,23,23,1,7,0.143,0,4,0,0,0,0,2,2,1,0,1,1,0,3,0,1,0,Arizona St,0
"Boakye, Enoch",19,0,63,3.3,5,10,0.5,0,0,0,3,9,0.333,13,0.7,6,7,13,0.7,12,2,4,1,4,Arizona St,0
"Burno, Micah",7,0,12,1.7,0,0,0,0,0,0,1,2,0.5,1,0.1,1,1,2,0.3,1,1,3,0,0,Arizona St,0
"Hurley, Bobby",6,0,8,1.3,1,6,0.167,1,2,0.5,0,1,0,3,0.5,2,0,2,0.3,0,0,1,0,0,Arizona St,0
"Olmsted, John",10,0,17,1.7,0,0,0,0,0,0,1,2,0.5,1,0.1,0,3,3,0.3,2,0,0,0,1,Arizona St,0
"Ronzone, Austin",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Arizona St,0
"Ronzone, Cade",2,0,1,0.5,0,0,0,0,0,0,1,2,0.5,1,0.5,0,0,0,0,1,0,0,0,0,Arizona St,0
"Williams, Jordan",2,0,5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Arizona St,0
"Timme, Drew",37,37,1170,31.6,313,508,0.616,4,24,0.167,156,247,0.632,786,21.2,95,184,279,7.5,83,119,96,23,36,Gonzaga,3
"Strawther, Julian",37,37,1155,31.2,190,405,0.469,80,196,0.408,104,134,0.776,564,15.2,28,203,231,6.2,78,49,56,31,16,Gonzaga,3
"Watson, Anton",37,37,1074,29,166,273,0.608,16,48,0.333,63,115,0.548,411,11.1,88,142,230,6.2,106,88,45,66,25,Gonzaga,3
"Bolton, Rasir",37,37,956,25.8,127,290,0.438,50,129,0.388,68,87,0.782,372,10.1,7,64,71,1.9,67,94,40,30,4,Gonzaga,3
"Smith, Malachi",37,1,775,20.9,119,222,0.536,45,90,0.5,38,48,0.792,321,8.7,33,103,136,3.7,39,51,29,35,1,Gonzaga,3
"Hickman, Nolan",37,36,1040,28.1,107,255,0.42,46,130,0.354,26,32,0.813,286,7.7,8,82,90,2.4,62,116,48,36,11,Gonzaga,3
"Gregg, Ben",36,0,430,11.9,65,129,0.504,23,61,0.377,32,42,0.762,185,5.1,46,63,109,3,65,24,21,17,24,Gonzaga,3
"Sallis, Hunter",37,0,619,16.7,61,131,0.466,11,43,0.256,32,41,0.78,165,4.5,19,62,81,2.2,73,50,28,24,7,Gonzaga,3
"Brooks, Colby",8,0,22,2.8,8,11,0.727,1,2,0.5,4,5,0.8,21,2.6,2,6,8,1,2,0,3,2,0,Gonzaga,3
"Reid III, Efton",25,0,116,4.6,23,37,0.622,0,3,0,7,13,0.538,53,2.1,10,16,26,1,27,2,14,3,2,Gonzaga,3
"Harris, Dominick",13,0,57,4.4,7,18,0.389,3,11,0.273,2,2,1,19,1.5,1,7,8,0.6,10,7,3,1,1,Gonzaga,3
"Eagle, Abe",5,0,11,2.2,2,3,0.667,0,0,0,0,2,0,4,0.8,0,1,1,0.2,1,1,0,0,0,Gonzaga,3
"Harrison, Ray",36,36,1156,32.1,206,466,0.442,50,152,0.329,178,234,0.761,640,17.8,23,120,143,4,74,128,86,24,7,Grand Canyon ,0
"McGlothan, Gabe",36,36,1039,28.9,169,324,0.522,37,107,0.346,85,119,0.714,460,12.8,86,188,274,7.6,93,31,61,21,22,Grand Canyon ,0
"McMillian, Chance",36,24,1042,28.9,147,303,0.485,60,135,0.444,38,54,0.704,392,10.9,22,91,113,3.1,81,78,60,26,5,Grand Canyon ,0
"Blacksher Jr., Jovan",12,12,332,27.7,46,118,0.39,10,41,0.244,26,32,0.813,128,10.7,4,24,28,2.3,22,29,18,18,3,Grand Canyon ,0
"Baumann, Noah",36,3,771,21.4,83,194,0.428,61,145,0.421,45,54,0.833,272,7.6,19,105,124,3.4,54,25,24,12,6,Grand Canyon ,0
"Ouedraogo, Yvan",28,27,679,24.3,52,107,0.486,0,0,0,37,75,0.493,141,5,59,105,164,5.9,74,10,28,17,19,Grand Canyon ,0
"Baker, Josh",31,16,655,21.1,61,159,0.384,34,95,0.358,24,34,0.706,180,5.8,6,68,74,2.4,56,70,48,20,8,Grand Canyon ,0
"Knox, Kobe",34,16,534,15.7,63,125,0.504,25,61,0.41,28,43,0.651,179,5.3,21,36,57,1.7,59,40,27,17,24,Grand Canyon ,0
"Ellis, Walter",33,1,491,14.9,51,102,0.5,37,81,0.457,26,29,0.897,165,5,7,69,76,2.3,55,23,16,12,1,Grand Canyon ,0
"Shaw, Isaiah",7,0,65,9.3,11,25,0.44,7,13,0.538,2,3,0.667,31,4.4,6,5,11,1.6,4,4,3,2,0,Grand Canyon ,0
"Igiehon, Aidan",32,3,316,9.9,30,66,0.455,0,3,0,22,34,0.647,82,2.6,36,68,104,3.3,45,7,23,4,12,Grand Canyon ,0
"Landers, Logan",14,0,93,6.6,12,22,0.545,2,10,0.2,2,3,0.667,28,2,7,12,19,1.4,14,6,5,1,0,Grand Canyon ,0
"Carr, Isaiah",9,6,73,8.1,2,7,0.286,0,0,0,4,8,0.5,8,0.9,5,11,16,1.8,17,1,3,3,8,Grand Canyon ,0
"Buie, Boo ",34,34,1187,34.9,199,490,0.406,64,201,0.318,126,145,0.869,588,17.3,19,97,116,3.4,67,154,82,38,5,Northwestern,1
"Audige, Chase ",34,34,1172,34.5,166,451,0.368,67,206,0.325,79,95,0.832,478,14.1,23,93,116,3.4,82,98,82,81,21,Northwestern,1
"Berry, Ty ",34,34,961,28.3,95,278,0.342,50,172,0.291,48,59,0.814,288,8.5,27,135,162,4.8,70,37,28,47,5,Northwestern,1
"Beran, Robbie ",34,34,876,25.8,80,217,0.369,39,113,0.345,56,66,0.848,255,7.5,39,114,153,4.5,69,21,21,18,24,Northwestern,1
"Barnhizer, Brooks ",34,0,823,24.2,89,217,0.41,26,84,0.31,56,67,0.836,260,7.6,45,123,168,4.9,54,36,28,27,12,Northwestern,1
"Nicholson, Matthew ",34,25,714,21,86,140,0.614,0,0,0,43,90,0.478,215,6.3,74,111,185,5.4,68,41,30,22,40,Northwestern,1
"Roper II, Julian ",15,0,321,21.4,24,53,0.453,8,19,0.421,10,22,0.455,66,4.4,9,46,55,3.7,30,16,11,11,4,Northwestern,1
"Verhoeven, Tydus ",34,9,537,15.8,34,63,0.54,0,1,0,13,21,0.619,81,2.4,42,48,90,2.6,87,23,16,16,22,Northwestern,1
"Hunger, Luke ",6,0,39,6.5,6,14,0.429,1,2,0.5,3,5,0.6,16,2.7,8,0,8,1.3,4,1,1,0,0,Northwestern,1
"Martinelli, Nick ",20,0,199,10,21,41,0.512,4,8,0.5,6,12,0.5,52,2.6,18,11,29,1.5,14,6,5,6,0,Northwestern,1
"Dixon III, Roy ",14,0,16,1.1,0,3,0,0,1,0,2,2,1,2,0.1,0,3,3,0.2,4,1,3,1,0,Northwestern,1
"Smith, Blake ",3,0,5,1.7,1,1,1,0,0,0,0,0,0,2,0.7,1,0,1,0.3,0,0,0,0,0,Northwestern,1
"Degenhart, Tyson ",34,34,1163,34.2,191,356,0.537,38,116,0.328,61,90,0.678,481,14.1,65,115,180,5.3,63,61,44,16,12,Boise St,0
"Rice, Max ",34,34,1169,34.4,168,387,0.434,74,181,0.409,66,75,0.88,476,14,16,139,155,4.6,64,61,55,34,2,Boise St,0
"Shaver, Jr., Marcus ",29,29,949,32.7,125,332,0.377,29,107,0.271,110,147,0.748,389,13.4,18,161,179,6.2,72,110,64,45,8,Boise St,0
"Agbo, Chibuzo ",34,33,1005,29.6,124,312,0.397,66,164,0.402,78,96,0.813,392,11.5,33,131,164,4.8,85,28,53,25,5,Boise St,0
"Smith, Naje ",34,31,964,28.4,128,244,0.525,25,65,0.385,67,99,0.677,348,10.2,67,125,192,5.6,80,44,55,22,34,Boise St,0
"Whiting, Jace ",33,5,521,15.8,42,101,0.416,14,43,0.326,5,8,0.625,103,3.1,10,47,57,1.7,42,44,28,11,2,Boise St,0
"Milner, Lukas ",33,4,441,13.4,43,71,0.606,0,1,0,18,35,0.514,104,3.2,37,53,90,2.7,83,13,26,7,24,Boise St,0
"NgaNga, Sadraque ",17,0,111,6.5,14,29,0.483,4,11,0.364,2,2,1,34,2,6,20,26,1.5,14,5,9,4,0,Boise St,0
"Kuzmanovic, Pavle ",23,0,187,8.1,15,40,0.375,8,21,0.381,6,9,0.667,44,1.9,1,10,11,0.5,7,10,14,3,0,Boise St,0
"Sylla, Mohamed ",18,0,102,5.7,11,21,0.524,0,0,0,11,15,0.733,33,1.8,6,15,21,1.2,15,0,5,0,5,Boise St,0
"Young, Kobe ",27,0,222,8.2,14,33,0.424,6,20,0.3,4,6,0.667,38,1.4,8,38,46,1.7,23,7,5,3,5,Boise St,0
"Smith, Burke ",10,0,34,3.4,3,12,0.25,1,4,0.25,2,5,0.4,9,0.9,2,9,11,1.1,7,1,0,1,0,Boise St,0
"Winter, Sam ",3,0,7,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Boise St,0
"Jaquez Jr., Jaime ",37,37,1228,33.2,261,543,0.481,33,104,0.317,104,135,0.77,659,17.8,95,209,304,8.2,69,87,67,57,22,UCLA,2
"Campbell, Tyger ",37,37,1189,32.1,171,452,0.378,53,157,0.338,101,118,0.856,496,13.4,17,79,96,2.6,43,186,58,46,0,UCLA,2
"Clark, Jaylen ",30,29,915,30.5,148,308,0.481,26,79,0.329,67,96,0.698,389,13,58,123,181,6,64,56,37,78,8,UCLA,2
"Bailey, Amari ",30,28,807,26.9,135,273,0.495,21,54,0.389,44,63,0.698,335,11.2,25,89,114,3.8,51,65,73,34,9,UCLA,2
"Singleton, David ",37,16,1043,28.2,108,253,0.427,73,172,0.424,45,53,0.849,334,9,20,84,104,2.8,54,40,17,41,7,UCLA,2
"Bona, Adem ",33,32,754,22.8,104,154,0.675,0,0,0,47,82,0.573,255,7.7,74,100,174,5.3,109,24,44,19,57,UCLA,2
"Andrews, Dylan ",36,0,390,10.8,46,107,0.43,13,41,0.317,14,21,0.667,119,3.3,8,31,39,1.1,38,33,17,11,2,UCLA,2
"Nwuba, Kenneth ",35,5,439,12.5,20,32,0.625,0,0,0,7,11,0.636,47,1.3,28,30,58,1.7,61,12,14,5,21,UCLA,2
"Canka, Abramo ",22,0,120,5.5,12,27,0.444,5,10,0.5,4,4,1,33,1.5,9,7,16,0.7,10,4,6,4,1,UCLA,2
"Etienne, Mac ",32,0,219,6.8,17,38,0.447,0,0,0,6,16,0.375,40,1.3,26,36,62,1.9,41,7,4,6,15,UCLA,2
"Manjikian, Evan ",2,0,3,1.5,1,2,0.5,1,2,0.5,0,0,0,3,1.5,0,1,1,0.5,0,0,0,0,0,UCLA,2
"McClendon, Will ",27,0,251,9.3,10,49,0.204,2,28,0.071,6,10,0.6,28,1,5,26,31,1.1,29,22,5,9,0,UCLA,2
"Stong, Russell ",11,1,22,2,0,6,0,0,4,0,4,5,0.8,4,0.4,1,7,8,0.7,1,0,0,0,0,UCLA,2
"Cremonesi, Logan ",9,0,20,2.2,0,1,0,0,0,0,1,2,0.5,1,0.1,1,1,2,0.2,3,2,2,0,0,UCLA,2
"Pember, Drew ",35,35,1176,33.6,205,442,0.464,57,153,0.373,266,318,0.836,733,20.9,60,260,320,9.1,87,81,119,30,80,UNC Asheville,0
"Jones, Tajion ",35,35,1226,35,186,364,0.511,99,221,0.448,50,70,0.714,521,14.9,34,145,179,5.1,54,43,36,33,14,UNC Asheville,0
"McMullen, Nick ",35,34,819,23.4,119,213,0.559,1,6,0.167,42,87,0.483,281,8,57,145,202,5.8,83,21,55,16,18,UNC Asheville,0
"Abee, Fletcher ",32,31,962,30.1,84,203,0.414,52,125,0.416,35,42,0.833,255,8,8,53,61,1.9,55,33,23,27,4,UNC Asheville,0
"Battle, Jamon ",35,3,725,20.7,95,172,0.552,1,10,0.1,33,69,0.478,224,6.4,39,83,122,3.5,46,34,42,30,13,UNC Asheville,0
"Burgess, Caleb ",35,26,824,23.5,63,156,0.404,7,23,0.304,44,72,0.611,177,5.1,10,61,71,2,66,148,97,25,1,UNC Asheville,0
"Caldwell, Alex ",30,1,468,15.6,54,136,0.397,29,87,0.333,36,51,0.706,173,5.8,8,23,31,1,59,31,26,13,3,UNC Asheville,0
"Stephney, Trent ",34,9,531,15.6,48,107,0.449,17,47,0.362,10,26,0.385,123,3.6,3,43,46,1.4,43,44,41,36,0,UNC Asheville,0
"Gabrelcik, Dean ",11,0,72,6.5,11,31,0.355,11,31,0.355,1,1,1,34,3.1,2,5,7,0.6,1,2,1,0,0,UNC Asheville,0
"Mason, Silas ",12,0,76,6.3,9,15,0.6,0,0,0,9,19,0.474,27,2.3,2,5,7,0.6,10,2,7,2,2,UNC Asheville,0
"Sylla, Amadou ",23,1,167,7.3,18,41,0.439,0,0,0,8,14,0.571,44,1.9,19,36,55,2.4,33,4,13,5,5,UNC Asheville,0
"Clinkscales-King, Ian ",2,0,7,3.5,1,1,1,0,0,0,0,0,0,2,1,1,0,1,0.5,1,0,0,0,0,UNC Asheville,0
"Cunningham, Davion ",3,0,19,6.3,1,3,0.333,0,2,0,1,1,1,3,1,0,4,4,1.3,2,0,3,0,0,UNC Asheville,0
"Maddox, Zaharee ",4,0,12,3,2,4,0.5,0,2,0,0,0,0,4,1,0,0,0,0,0,0,2,3,0,UNC Asheville,0
"Stephens, Justin ",4,0,16,4,1,2,0.5,0,0,0,1,2,0.5,3,0.8,0,4,4,1,1,3,2,1,0,UNC Asheville,0
