Player,Games Played,Games Started,Total Minutes Played,Average Minutes Per Game,Field Goals Made,Field Goals Attempted,Field Goals Percentage,3pts Made,3pts Attempted,3pts Percentage,Free Throws Made,Free Throws Attempted,Free Throws Percentage,Total Points,Average Points Per Game,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Average Rebounds Per Game,Personal Fouls,Assists,Turnovers,Steals,Blocks,Team,Tournament Wins
"Clary, Kanye",32,0,334,10.4,49,113,0.434,5,17,0.294,14,20,0.7,117,3.7,4,24,28,0.9,28,21,21,11,0,Penn St,1
"Dorsey, Caleb",16,9,194,12.1,14,37,0.378,4,12,0.333,5,8,0.625,37,2.3,10,25,35,2.2,17,7,8,6,3,Penn St,1
"Henn, Michael",29,4,247,8.5,28,57,0.491,13,31,0.419,2,4,0.5,71,2.4,11,22,33,1.1,46,17,15,3,3,Penn St,1
"Johnson, Dallion",23,0,199,8.7,18,52,0.346,11,37,0.297,0,0,0,47,2,1,16,17,0.7,15,8,5,4,0,Penn St,1
"Mahaffey, Evan",34,0,315,9.3,37,65,0.569,4,12,0.333,16,28,0.571,94,2.8,22,37,59,1.7,59,12,14,9,7,Penn St,1
"Brown, Jameel",14,0,65,4.6,3,16,0.188,2,14,0.143,4,5,0.8,12,0.9,0,14,14,1,5,3,2,2,1,Penn St,1
"Christos, Andy",2,0,3,1.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Penn St,1
"Conlan, Dan",6,0,12,2,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0.2,1,0,0,1,0,Penn St,1
"Jagiasi, Ishaan",2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Penn St,1
"Lilley, Demetrius",5,0,14,2.8,2,3,0.667,0,0,0,0,3,0,4,0.8,0,2,2,0.4,4,0,2,0,1,Penn St,1
"Carr , Marcus",38,38,1287,33.9,208,486,0.428,82,223,0.368,105,136,0.772,603,15.9,11,102,113,3,78,157,59,62,2,Texas,3
"Rice, Sir'Jabari",38,3,959,25.2,159,343,0.464,63,170,0.371,113,131,0.863,494,13,27,106,133,3.5,77,77,58,34,13,Texas,3
"Hunter, Tyrese",38,38,1149,30.2,138,350,0.394,56,166,0.337,60,75,0.8,392,10.3,16,97,113,3,49,96,68,31,7,Texas,3
"Allen, Timmy",35,35,996,28.5,138,284,0.486,3,20,0.15,88,128,0.688,367,10.5,45,151,196,5.6,89,122,74,32,17,Texas,3
